Location,Province,Perc,Lat,Lon
Lahore,Punjab,50,31.582045,74.329376
Islamabad,ICT,39.7959184,33.738045,73.084488
Peshawar,KP,21.4285714,34.025917,71.560135
Gujranwala,Punjab,17.8571429,32.166351,74.1959
Rawalpindi,Punjab,11.2244898,33.626057,73.071442
Faisalabad,Punjab,9.69387755,31.418715,73.079109
Multan,Punjab,9.18367347,30.181459,71.492157
Karachi,Sindh,11.2244898,24.926294,67.022095
DGKhan,Punjab,6.12244898,30.045869,70.640289
Quetta,Balochistan,7.14285714,30.18327,66.996452
Sukkur,Sindh,5.6122449,27.7244,68.8228
Hyderabad,Sindh,4.59183673,25.3924198,68.3736572
Other,None,1.02040816,,
Sargodha,Punjab,1.02040816,32.082466,72.669128
Sialkot,Punjab,1.02040816,32.4945,74.5229