District,FarmSize,Prod,Buy_Prod_AvgVal,Loss_AvgVal,lossPerProd,altitudeCateg
Killah Abdullah,>25 Acres,Average,15000,5000,0.333333333,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,25000,15000,0.6,Lower (< 1900)
Killah Abdullah,>25 Acres,Average,30000,3000,0.1,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,20000,5000,0.25,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,1500,120,0.08,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,2500,500,0.2,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,2800,800,0.285714286,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,22000,1958,0.089,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,7000,2000,0.285714286,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,22000,900,0.040909091,Lower (< 1900)
Killah Abdullah,>25 Acres,Average,6000,1050,0.175,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,4000,1000,0.25,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,15000,550,0.036666667,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,4500,400,0.088888889,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,2000,300,0.15,Lower (< 1900)
Pishin,<5 Acres,Average,2000,100,0.05,Lower (< 1900)
Pishin,<5 Acres,Average,1500,100,0.066666667,Higher (>= 1900)
Pishin,<5 Acres,Average,300,15,0.05,Higher (>= 1900)
Pishin,<5 Acres,Average,800,90,0.1125,Higher (>= 1900)
Pishin,<5 Acres,Average,500,20,0.04,Higher (>= 1900)
Pishin,<5 Acres,Average,2500,300,0.12,Higher (>= 1900)
Pishin,<5 Acres,Average,1600,150,0.09375,Higher (>= 1900)
Pishin,<5 Acres,Average,1200,80,0.066666667,Higher (>= 1900)
Pishin,<5 Acres,Average,2000,110,0.055,Higher (>= 1900)
Pishin,5 to 25 Acres,Average,4500,180,0.04,Higher (>= 1900)
Killah Abdullah,<5 Acres,Average,5000,1000,0.2,Lower (< 1900)
Pishin,<5 Acres,Average,3000,500,0.166666667,Lower (< 1900)
Pishin,<5 Acres,Average,2500,500,0.2,Lower (< 1900)
Pishin,5 to 25 Acres,Average,8500,1200,0.141176471,Lower (< 1900)
Pishin,5 to 25 Acres,Average,4000,500,0.125,Lower (< 1900)
Pishin,<5 Acres,Average,1500,200,0.133333333,Lower (< 1900)
Pishin,<5 Acres,Average,1100,50,0.045454545,Higher (>= 1900)
Killah Abdullah,<5 Acres,Average,2200,200,0.090909091,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,2300,250,0.108695652,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,4000,500,0.125,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,4000,620,0.155,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,5000,700,0.14,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,4500,800,0.177777778,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,2500,1000,0.4,Lower (< 1900)
Killah Abdullah,>25 Acres,Average,3000,1500,0.5,Lower (< 1900)
Killah Abdullah,>25 Acres,Average,30000,10000,0.333333333,Lower (< 1900)
Killah Abdullah,>25 Acres,Average,5000,2000,0.4,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,1500,230,0.153333333,Lower (< 1900)
Killah Abdullah,>25 Acres,Average,8000,1000,0.125,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,20000,5000,0.25,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Don't Know Average,2000,500,0.25,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,8000,120,0.015,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,2500,500,0.2,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,15000,2800,0.186666667,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,10000,200,0.02,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,2800,300,0.107142857,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,3000,1000,0.333333333,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,7000,1000,0.142857143,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,20000,5000,0.25,Lower (< 1900)
Pishin,<5 Acres,Average,3500,400,0.114285714,Lower (< 1900)
Pishin,5 to 25 Acres,Average,5000,1000,0.2,Lower (< 1900)
Pishin,<5 Acres,Average,2000,400,0.2,Lower (< 1900)
Pishin,<5 Acres,Average,5500,900,0.163636364,Lower (< 1900)
Pishin,<5 Acres,Average,3000,500,0.166666667,Lower (< 1900)
Pishin,5 to 25 Acres,Average,1.00E+05,1200,0.012,Lower (< 1900)
Pishin,<5 Acres,Average,2000,300,0.15,Lower (< 1900)
Pishin,5 to 25 Acres,Average,18000,2200,0.122222222,Lower (< 1900)
Pishin,<5 Acres,Average,1500,150,0.1,Lower (< 1900)
Pishin,5 to 25 Acres,Average,8000,1000,0.125,Lower (< 1900)
Pishin,5 to 25 Acres,Average,120000,900,0.0075,Lower (< 1900)
Pishin,<5 Acres,Average,1800,300,0.166666667,Lower (< 1900)
Pishin,5 to 25 Acres,Average,7000,2500,0.357142857,Lower (< 1900)
Pishin,<5 Acres,Average,1800,300,0.166666667,Lower (< 1900)
Pishin,<5 Acres,Average,2200,250,0.113636364,Lower (< 1900)
Pishin,<5 Acres,Average,2000,200,0.1,Lower (< 1900)
Pishin,<5 Acres,Average,2500,400,0.16,Lower (< 1900)
Pishin,<5 Acres,Average,2100,300,0.142857143,Lower (< 1900)
Pishin,<5 Acres,Average,4000,500,0.125,Lower (< 1900)
Pishin,<5 Acres,Average,4000,500,0.125,Lower (< 1900)
Pishin,<5 Acres,Average,4500,800,0.177777778,Lower (< 1900)
Pishin,<5 Acres,Average,3000,400,0.133333333,Lower (< 1900)
Pishin,<5 Acres,Average,2000,200,0.1,Lower (< 1900)
Pishin,<5 Acres,Average,2200,350,0.159090909,Lower (< 1900)
Pishin,<5 Acres,Average,1500,250,0.166666667,Lower (< 1900)
Pishin,<5 Acres,Average,3000,400,0.133333333,Lower (< 1900)
Pishin,5 to 25 Acres,Average,7000,1000,0.142857143,Lower (< 1900)
Pishin,5 to 25 Acres,Average,40000,5000,0.125,Lower (< 1900)
Pishin,5 to 25 Acres,Average,35000,3000,0.085714286,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,4000,2000,0.5,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,20000,6000,0.3,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,4500,1000,0.222222222,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,15000,5000,0.333333333,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,3700,730,0.197297297,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,15000,3000,0.2,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,5000,1500,0.3,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,5000,2000,0.4,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,1500,300,0.2,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,2000,510,0.255,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,6000,1000,0.166666667,Lower (< 1900)
Pishin,<5 Acres,Average,1500,350,0.233333333,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,3000,1000,0.333333333,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,4000,2000,0.5,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,10000,5000,0.5,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,14000,7000,0.5,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,2000,300,0.15,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,6000,3000,0.5,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,3500,1500,0.428571429,Lower (< 1900)
Killah Abdullah,<5 Acres,Average,2100,300,0.142857143,Lower (< 1900)
Pishin,5 to 25 Acres,Average,5000,600,0.12,Lower (< 1900)
Pishin,5 to 25 Acres,Average,6500,1200,0.184615385,Lower (< 1900)
Pishin,<5 Acres,Average,1800,350,0.194444444,Lower (< 1900)
Pishin,5 to 25 Acres,Average,6500,550,0.084615385,Lower (< 1900)
Pishin,<5 Acres,Average,600,100,0.166666667,Lower (< 1900)
Pishin,<5 Acres,Average,6000,850,0.141666667,Lower (< 1900)
Pishin,5 to 25 Acres,Average,8500,1200,0.141176471,Lower (< 1900)
Pishin,5 to 25 Acres,Average,4500,650,0.144444444,Lower (< 1900)
Pishin,>25 Acres,Average,10000,2000,0.2,Lower (< 1900)
Pishin,>25 Acres,Average,25000,4500,0.18,Lower (< 1900)
Pishin,5 to 25 Acres,Average,10000,2500,0.25,Lower (< 1900)
Pishin,>25 Acres,Average,45000,6500,0.144444444,Lower (< 1900)
Pishin,5 to 25 Acres,Average,15000,2000,0.133333333,Lower (< 1900)
Pishin,<5 Acres,Average,2500,500,0.2,Lower (< 1900)
Pishin,>25 Acres,Average,15000,3000,0.2,Lower (< 1900)
Pishin,5 to 25 Acres,Average,10000,2000,0.2,Lower (< 1900)
Killah Saifullah,<5 Acres,Average,500,50,0.1,Higher (>= 1900)
Pishin,<5 Acres,Average,3500,500,0.142857143,Lower (< 1900)
Pishin,<5 Acres,Average,1200,100,0.083333333,Lower (< 1900)
Pishin,<5 Acres,Average,2000,400,0.2,Lower (< 1900)
Pishin,<5 Acres,Average,2000,400,0.2,Lower (< 1900)
Pishin,<5 Acres,Average,2000,300,0.15,Lower (< 1900)
Pishin,5 to 25 Acres,Average,15000,2500,0.166666667,Lower (< 1900)
Pishin,<5 Acres,Average,2000,400,0.2,Lower (< 1900)
Pishin,<5 Acres,Average,3000,500,0.166666667,Lower (< 1900)
Pishin,<5 Acres,Average,6000,1300,0.216666667,Lower (< 1900)
Pishin,<5 Acres,Average,1500,250,0.166666667,Lower (< 1900)
Pishin,<5 Acres,Average,1000,200,0.2,Lower (< 1900)
Pishin,<5 Acres,Average,3000,500,0.166666667,Lower (< 1900)
Pishin,<5 Acres,Average,2500,500,0.2,Lower (< 1900)
Pishin,<5 Acres,Average,5000,800,0.16,Lower (< 1900)
Pishin,<5 Acres,Average,6000,1000,0.166666667,Lower (< 1900)
Pishin,5 to 25 Acres,Average,5500,1500,0.272727273,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,3000,1500,0.5,Higher (>= 1900)
Killah Saifullah,5 to 25 Acres,Average,500,5,0.01,Higher (>= 1900)
Killah Saifullah,5 to 25 Acres,Average,1600,308,0.1925,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,100,5,0.05,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1000,300,0.3,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,700,20,0.028571429,Higher (>= 1900)
Killah Saifullah,5 to 25 Acres,Average,5000,700,0.14,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1300,150,0.115384615,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1000,35,0.035,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1300,300,0.230769231,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,2500,150,0.06,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,2300,115,0.05,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,600,40,0.066666667,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,500,25,0.05,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,500,50,0.1,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,4500,50,0.011111111,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,500,50,0.1,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,2000,300,0.15,Higher (>= 1900)
Pishin,<5 Acres,Average,4500,650,0.144444444,Lower (< 1900)
Pishin,5 to 25 Acres,Average,15000,3000,0.2,Lower (< 1900)
Killah Saifullah,<5 Acres,Average,700,300,0.428571429,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,300,20,0.066666667,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1000,100,0.1,Higher (>= 1900)
Pishin,<5 Acres,Average,3000,500,0.166666667,Lower (< 1900)
Pishin,<5 Acres,Average,2000,250,0.125,Lower (< 1900)
Pishin,<5 Acres,Average,2000,400,0.2,Lower (< 1900)
Pishin,5 to 25 Acres,Average,5000,1000,0.2,Lower (< 1900)
Pishin,>25 Acres,Average,15000,2500,0.166666667,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1500,600,0.4,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,6000,200,0.033333333,Higher (>= 1900)
Pishin,<5 Acres,Average,2000,400,0.2,Lower (< 1900)
Pishin,<5 Acres,Average,1000,200,0.2,Lower (< 1900)
Pishin,<5 Acres,Average,5000,800,0.16,Lower (< 1900)
Pishin,>25 Acres,Average,25000,4000,0.16,Lower (< 1900)
Pishin,<5 Acres,Average,800,100,0.125,Lower (< 1900)
Pishin,5 to 25 Acres,Average,18000,2000,0.111111111,Lower (< 1900)
Pishin,<5 Acres,Average,3000,400,0.133333333,Lower (< 1900)
Pishin,<5 Acres,Average,2500,225,0.09,Lower (< 1900)
Pishin,5 to 25 Acres,Average,12000,2000,0.166666667,Lower (< 1900)
Pishin,<5 Acres,Average,600,50,0.083333333,Lower (< 1900)
Pishin,<5 Acres,Average,1000,50,0.05,Lower (< 1900)
Pishin,<5 Acres,Average,1000,100,0.1,Lower (< 1900)
Pishin,<5 Acres,Average,1000,300,0.3,Lower (< 1900)
Pishin,<5 Acres,Average,4000,800,0.2,Lower (< 1900)
Pishin,<5 Acres,Average,2500,400,0.16,Lower (< 1900)
Pishin,5 to 25 Acres,Average,4000,500,0.125,Lower (< 1900)
Pishin,<5 Acres,Average,4500,600,0.133333333,Lower (< 1900)
Pishin,5 to 25 Acres,Average,15000,1500,0.1,Lower (< 1900)
Pishin,<5 Acres,Average,3000,400,0.133333333,Lower (< 1900)
Pishin,<5 Acres,Average,2000,600,0.3,Lower (< 1900)
Pishin,<5 Acres,Average,2500,350,0.14,Lower (< 1900)
Pishin,5 to 25 Acres,Average,9000,1000,0.111111111,Lower (< 1900)
Pishin,<5 Acres,Average,1500,300,0.2,Lower (< 1900)
Pishin,<5 Acres,Average,1000,30,0.03,Lower (< 1900)
Pishin,5 to 25 Acres,Average,4000,500,0.125,Lower (< 1900)
Pishin,5 to 25 Acres,Average,3500,500,0.142857143,Lower (< 1900)
Pishin,<5 Acres,Average,400,50,0.125,Lower (< 1900)
Pishin,<5 Acres,Average,800,100,0.125,Lower (< 1900)
Pishin,<5 Acres,Average,1200,100,0.083333333,Lower (< 1900)
Pishin,<5 Acres,Average,3000,400,0.133333333,Lower (< 1900)
Pishin,5 to 25 Acres,Average,5000,600,0.12,Lower (< 1900)
Pishin,>25 Acres,Average,35000,4000,0.114285714,Higher (>= 1900)
Pishin,5 to 25 Acres,Average,20000,2000,0.1,Lower (< 1900)
Pishin,<5 Acres,Average,2500,250,0.1,Lower (< 1900)
Pishin,<5 Acres,Average,1000,120,0.12,Higher (>= 1900)
Pishin,<5 Acres,Average,2000,130,0.065,Higher (>= 1900)
Pishin,<5 Acres,Average,3500,200,0.057142857,Higher (>= 1900)
Pishin,<5 Acres,Average,2000,400,0.2,Higher (>= 1900)
Pishin,5 to 25 Acres,Average,20000,4000,0.2,Higher (>= 1900)
Pishin,5 to 25 Acres,Average,6000,1200,0.2,Higher (>= 1900)
Pishin,<5 Acres,Average,3500,500,0.142857143,Higher (>= 1900)
Pishin,<5 Acres,Average,2200,300,0.136363636,Higher (>= 1900)
Pishin,<5 Acres,Average,3000,500,0.166666667,Lower (< 1900)
Killah Saifullah,<5 Acres,Average,300,10,0.033333333,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,350,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,700,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,900,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,200,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1000,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,190,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,500,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1000,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1600,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,3000,500,0.166666667,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,500,15,0.03,Higher (>= 1900)
Killah Saifullah,5 to 25 Acres,Average,18000,4000,0.222222222,Higher (>= 1900)
Killah Saifullah,>25 Acres,Average,2000,500,0.25,Higher (>= 1900)
Killah Saifullah,>25 Acres,Average,1200,300,0.25,Higher (>= 1900)
Killah Saifullah,>25 Acres,Average,10000,100,0.01,Higher (>= 1900)
Killah Saifullah,>25 Acres,Average,10000,1000,0.1,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,100,20,0.2,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,300,30,0.1,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,200,20,0.1,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,500,50,0.1,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,200,20,0.1,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,80,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,250,20,0.08,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,200,10,0.05,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1000,100,0.1,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,500,50,0.1,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1100,20,0.018181818,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,500,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,500,50,0.1,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,700,150,0.214285714,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,200,50,0.25,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,150,20,0.133333333,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,2000,250,0.125,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1000,50,0.05,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1500,50,0.033333333,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,500,30,0.06,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,200,40,0.2,Higher (>= 1900)
