DISTRICT,Intensity
AWARAN,Mild and Moderate
BARKHAN,Mild
CHAGAI,Mild
DERA BUGTI,Mild
GWADAR,Mild and Moderate
HARNAI,Mild
JAFFARABAD,Mild
JHAL MAGSI,Mild
KACHHI,Mild
KALAT,Moderate
KECH,Mild and Moderate
KHARAN,Mild
KHUZDAR,Mild and Moderate
KILLA ABDULLAH,Moderate
KILLA SAIFULLAH,Mild and Moderate
KOHLU,Mild and Moderate
LASBELA,Mild and Moderate
LORALAI,Moderate
MASTUNG,Moderate
MUSA KHEL,Mild
NASIRABAD,Mild
NUSHKI,Mild
PANJGUR,Mild
PISHIN,Moderate
QUETTA,Mild
SHEERANI,Mild and Moderate
SIBI,Mild
WASHUK,Mild
ZHOB,Mild and Moderate
ZIARAT,Mild
LEHRI,Mild
SOHBATPUR,Mild